,date_processed,positive,negative,neutral,balance,balance2
0,2018-02-09,0,6,3,0.0,-1.0
1,2018-03-23,2,30,10,0.047619047619047616,-0.875
2,2018-04-27,1,2,2,0.2,-0.3333333333333333
3,2018-06-15,0,1,2,0.0,-1.0
4,2018-07-27,0,4,3,0.0,-1.0
5,2018-09-14,4,19,7,0.13333333333333333,-0.6521739130434783
6,2018-09-26,0,3,2,0.0,-1.0
7,2018-12-14,18,97,63,0.10112359550561797,-0.6869565217391305
8,2019-02-08,7,31,14,0.1346153846153846,-0.631578947368421
9,2019-03-22,6,21,18,0.13333333333333333,-0.5555555555555556
10,2019-04-26,18,11,14,0.4186046511627907,0.2413793103448276
11,2019-06-14,19,107,76,0.09405940594059406,-0.6984126984126984
12,2019-07-26,19,75,47,0.1347517730496454,-0.5957446808510638
13,2019-09-06,13,78,27,0.11016949152542373,-0.7142857142857143
14,2019-10-25,18,41,46,0.17142857142857143,-0.3898305084745763
15,2019-12-13,20,51,29,0.2,-0.43661971830985913
16,2020-02-07,27,194,77,0.09060402684563758,-0.755656108597285
17,2020-03-20,23,114,57,0.11855670103092783,-0.6642335766423357
18,2020-04-24,56,287,184,0.1062618595825427,-0.673469387755102
19,2020-06-19,62,149,95,0.20261437908496732,-0.41232227488151657
20,2020-07-24,43,148,65,0.16796875,-0.5497382198952879
21,2020-09-18,22,29,26,0.2857142857142857,-0.13725490196078433
22,2020-10-23,39,67,49,0.25161290322580643,-0.2641509433962264
23,2020-12-18,42,123,78,0.1728395061728395,-0.4909090909090909
24,2021-02-12,32,111,52,0.1641025641025641,-0.5524475524475524
25,2021-03-19,31,81,46,0.1962025316455696,-0.44642857142857145
26,2021-04-23,43,156,110,0.13915857605177995,-0.5678391959798995
27,2021-06-11,107,217,77,0.26683291770573564,-0.3395061728395062
28,2021-07-23,74,394,207,0.10962962962962963,-0.6837606837606838
29,2021-09-10,83,120,77,0.29642857142857143,-0.18226600985221675
30,2021-10-22,77,270,129,0.16176470588235295,-0.5561959654178674
31,2021-12-17,109,273,172,0.1967509025270758,-0.4293193717277487
32,2022-02-11,72,277,121,0.15319148936170213,-0.5873925501432665
33,2022-02-28,171,1191,313,0.10208955223880598,-0.748898678414097
34,2022-03-18,146,946,249,0.10887397464578673,-0.7326007326007326
35,2022-04-08,139,876,274,0.1078355314197052,-0.7261083743842365
36,2022-04-29,97,604,269,0.1,-0.7232524964336662
37,2022-05-26,85,523,249,0.09918319719953325,-0.7203947368421053
38,2022-06-10,106,347,139,0.17905405405405406,-0.5320088300220751
39,2022-07-22,130,386,181,0.18651362984218078,-0.49612403100775193
40,2022-09-16,49,123,72,0.20081967213114754,-0.43023255813953487
41,2022-10-28,51,68,35,0.33116883116883117,-0.14285714285714285
